	en_entry	ar	pos	no_en_entry
32	magdalena_4_GN	ماجْدالينا	GN	0
33	mustafa_8_GN	مصطفى	GN	0
34	ulf_3_GN	أولْف	GN	0
35	alexandria_governorate_7_LN	محافظة الاسكندرية	LN	0
36	aswan_governorate_1_LN	محافظة أسوان	LN	0
37	asyut_governorate_3_LN	محافظة أسيوط	LN	0
38	beheira_governorate_6_LN	محافظة البحيرة	LN	0
39	beni_suef_governorate_2_LN	محافظة بني سويف	LN	0
40	bir_tawil_3_LN	بئر طويل	LN	0
41	blekinge_county_2_LN	مقاطعة بليكينج	LN	0
42	cairo_2_LN	القاهرة	LN	0
43	cairo_governorate_8_LN	محافظة القاهرة	LN	0
44	dakahlia_governorate_3_LN	محافظة الدقهلية	LN	0
45	dalarna_county_9_LN	مقاطعة دالارْنا	LN	0
46	damietta_governorate_5_LN	محافظة دمياط	LN	0
47	egypt_1_LN	مصر	LN	0
48	faiyum_governorate_1_LN	محافظة الفيوم	LN	0
49	gharbia_governorate_3_LN	محافظة الغربية	LN	0
50	giza_governorate_7_LN	محافظة الجيزة	LN	0
51	gotland_county_7_LN	مقاطعة جوتْلاند	LN	0
52	gävleborg_county_5_LN	مقاطعة يافلبورج	LN	0
53	halland_county_9_LN	مقاطعة هالاند	LN	0
54	ismailia_governorate_5_LN	محافظة الإسماعيلية	LN	0
55	jämtland_county_7_LN	مقاطعة جامتلاند	LN	0
56	jönköping_county_4_LN	مقاطعة يونشوبينغ	LN	0
57	kalmar_county_2_LN	مقاطعة كالمار	LN	0
58	kronoberg_county_1_LN	مقاطعة كرونوبيرج	LN	0
59	luxor_governorate_2_LN	محافظة الأقصر	LN	0
60	matrouh_governorate_5_LN	محافظة مطروح	LN	0
61	minya_governorate_8_LN	محافظة المنيا	LN	0
62	monufia_governorate_5_LN	محافظة المنوفية	LN	0
63	new_valley_governorate_2_LN	محافظة الوادي الجديد	LN	0
64	norrbotten_county_6_LN	مقاطعة نوربوتن	LN	0
65	north_sinai_governorate_8_LN	محافظة شمال سيناء	LN	0
66	port_said_governorate_9_LN	محافظة بورسعيد	LN	0
67	qalyubia_governorate_3_LN	محافظة القليوبية	LN	0
68	qena_governorate_2_LN	المحافظة	LN	0
69	red_sea_governorate_2_LN	محافظة البحر الأحمر	LN	0
70	russia_2_LN	روسيا	LN	0
71	scandinavia_2_LN	الدول الاسكندنافية	LN	0
72	sharqia_governorate_5_LN	محافظة الشرقية	LN	0
73	sheikh_governorate_6_LN	محافظة الشيخ	LN	0
74	skåne_county_3_LN	مقاطعة سكانيا	LN	0
75	sohag_governorate_9_LN	محافظة سوهاج	LN	0
76	south_sinai_governorate_7_LN	محافظة جنوب سيناء	LN	0
77	stockholm_county_8_LN	مقاطعة ستوكهولم	LN	0
78	sudan_1_LN	السودان	LN	0
79	suez_governorate_3_LN	محافظة السويس	LN	0
80	södermanland_county_6_LN	مقاطعة سودرمانلاند	LN	0
81	uppsala_county_7_LN	مقاطعة أوبسالا	LN	0
82	värmland_county_1_LN	مقاطعة فارملاند	LN	0
