	wiki_idx	no_en_entry	en_entry	ar	vocal_forms	pos	wiki_pos	select	entry_num	ar_letters	senses	tim_translit	file
17	-1	0	algonquin_N	ألجونكوين	ألجونكوين	N		0	0	همزة على الألف | لام | جيم | واو | نون | كاف | واو | ياء | نون		>ljwnkwyn	
22	-1	0	blackfoot_N	بلاكفوت	بلاكفوت	N		0	0	باء | لام | ألف | كاف | فاء | واو | تاء		blAkfwt	
23	-1	0	cayuga_N	كايوجا	كايوجا	N		0	0	كاف | ألف | ياء | واو | جيم | ألف		kAywjA	
10	-1	0	chinese_N	صينىة	صِينِيَّة	N	noun	0	0	صاد-كسرة | ياء | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة	Chinese+[fem.sg.]	Siyniy~ap	
11	-1	0	chinese_N	صينىة	صِينِيَّة	N	adj	0	0	صاد-كسرة | ياء | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة	Chinese+[fem.sg.]	Siyniy~ap	
12	-1	0	chinese_N	صينىة	صِينِيَّة	N	noun	0	0	صاد-كسرة | ياء | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة	porcelain / china+[fem.sg.]	Siyniy~ap	
24	-1	0	chipewyan_N	تشيبويان	تشيبويان	N		0	0	تاء | شين | ياء | باء | واو | ياء | ألف | نون		t$ybwyAn	
25	-1	0	commonwealth_3_N	كومنولث	كُومُنوِلْث	N	noun_prop	0	0	كاف-ضمة | واو | ميم-ضمة | نون | واو-كسرة | لام-سكون | ثاء	Commonwealth	kuwmunwilov	
33	-1	1	demographic_N	تركيبة	تَرْكِيبُه	N	noun	0	0	تاء-فتحة | راء-سكون | كاف-كسرة | ياء | باء-ضمة | هاء	installation / assembling+its / his	tarokiybuh	
31	-1	1	demographic_N	سكانية	سُكّانَيْه	A	noun	0	0	سين-ضمة | كاف-شدة | ألف | نون-فتحة | ياء-سكون | هاء	rudder+his / its_two	suk~Anayoh	
32	-1	1	demographic_N	سكانية	سُكّانِيَّة	A	adj	0	0	سين-ضمة | كاف-شدة | ألف | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة	residential / population+[fem.sg.]	suk~Aniy~ap	
35	-1	0	english_N	الإنجليزية	الإِنْجلِيزِيَّة	N	noun	0	0	ألف | لام | همزة تحت الألف-كسرة | نون-سكون | جيم | لام-كسرة | ياء | زاي-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+English_(language)+[fem.sg.]	Al<inojliyziy~ap	
36	-1	0	english_N	الإنجليزية	الإِنْجلِيزِيَّة	N	adj	0	0	ألف | لام | همزة تحت الألف-كسرة | نون-سكون | جيم | لام-كسرة | ياء | زاي-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+English+[fem.sg.]	Al<inojliyziy~ap	
37	-1	0	english_N	الإنجليزية	الإِنْجلِيزِيَّة	N	noun	0	0	ألف | لام | همزة تحت الألف-كسرة | نون-سكون | جيم | لام-كسرة | ياء | زاي-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+English+[fem.sg.]	Al<inojliyziy~ap	
41	-1	0	filipino_2_N	الفلبينية	الفِلِبِّينِيَّة	N	noun	0	0	ألف | لام | فاء-كسرة | لام-كسرة | باء-شدة-كسرة | ياء | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+Philippine / Filipino+[fem.sg.]	Alfilib~iyniy~ap	
42	-1	0	filipino_2_N	الفلبينية	الفِلِبِّينِيَّة	N	adj	0	0	ألف | لام | فاء-كسرة | لام-كسرة | باء-شدة-كسرة | ياء | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+Philippine / Filipino+[fem.sg.]	Alfilib~iyniy~ap	
43	-1	0	finnish_N	الفنلندية	الفِنْلَنْدِيَّة	N	adj	0	0	ألف | لام | فاء-كسرة | نون-سكون | لام-فتحة | نون-سكون | دال-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+Finnish+[fem.sg.]	Alfinolanodiy~ap	
44	-1	0	finnish_N	الفنلندية	الفِنْلَنْدِيَّة	N	noun	0	0	ألف | لام | فاء-كسرة | نون-سكون | لام-فتحة | نون-سكون | دال-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+Finnish+[fem.sg.]	Alfinolanodiy~ap	
45	-1	0	haida_N	هيدا	هيدا	N		0	0	هاء | ياء | دال | ألف		hydA	
60	-1	1	life_expectancy_N	متوقع	مُتَوَقِّع	N	adj	0	0	ميم-ضمة | تاء-فتحة | واو-فتحة | قاف-شدة-كسرة | عين	expecting / anticipating	mutawaq~iE	
64	-1	0	mohawk_2_N	موهوك	مَوَّهُوك	N	verb	0	0	ميم-فتحة | واو-شدة-فتحة | هاء-ضمة | واو | كاف	have_abundant_water / add_water / dilute+they_<verb>_you	maw~ahuwk	
65	-1	0	oneida_N	أونيدا	أونيدا	N		0	0	همزة على الألف | واو | نون | ياء | دال | ألف		>wnydA	
66	-1	0	onondaga_N	أونونداجا	أونونداجا	N		0	0	همزة على الألف | واو | نون | واو | نون | دال | ألف | جيم | ألف		>wnwndAjA	
68	-1	1	percent_MU	مئوية	مِئَوِيَّة	N	adj	0	0	ميم-كسرة | همزة على الياء-فتحة | واو-كسرة | ياء-شدة-فتحة | تاء مربوطة	one-hundred / hundreth / percentage+[fem.sg.]	mi}awiy~ap	
70	-1	0	swedish_N	السويدية	السُوِيدِيَّة	N	adj	0	0	ألف | لام | سين-ضمة | واو-كسرة | ياء | دال-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+Swedish+[fem.sg.]	Alsuwiydiy~ap	
71	-1	0	swedish_N	السويدية	السُوِيدِيَّة	N	noun	0	0	ألف | لام | سين-ضمة | واو-كسرة | ياء | دال-كسرة | ياء-شدة-فتحة | تاء مربوطة	the+Swedish+[fem.sg.]	Alsuwiydiy~ap	
73	-1	0	tlingit_N	تلينغيت	تلينغيت	N		0	0	تاء | لام | ياء | نون | غين | ياء | تاء		tlyngyt	
74	-1	0	tsimshian_N	تسيمشيان	تسيمشيان	N		0	0	تاء | سين | ياء | ميم | شين | ياء | ألف | نون		tsym$yAn	
