li	ar	en
292	مُطلَق	absolute_3_A
1168	إِدارِيّ	administrative_A
1558	أفْغانِيّ	afghani_1_N
1596	لغة أفريكانية	afrikaans_N
1643	سِنّ	age_1_N
1973	الأكانية	akan_N
1987	ألاباما	alabama_4_N
2019	الألبانية	albanian_2_N
2085	الأليوتية	aleut_N
2657	الأمهرية	amharic_N
2676	أَمير	amir_N
2735	يَصِل إلى	amount_to_2_V2
3970	عربي	arabic_A
3971	العربية	arabic_N
3987	الأراباهو	arapaho_N
3989	أراواك	arawak_N
4109	مِنْطقة	area_6_N
4230	ارمينية	armenian_2_N
4675	الأسامية	assamese_N
4871	آشوري	assyrian_2_N
5349	استبدادي	authoritarian_1_A
5476	مُتوسٌط	average_1_N
5494	الأفستية	avestan_N
5652	الأذرية	azerbaijani_N
6045	بلبوا	balboa_1_N
6067	اللغة البالية	balinese_N
6147	بلطيق	baltic_2_A
6160	منع	ban_2_N
6162	نهي	ban_3_N
6757	باتا	bata_N
7316	بيلاروسي	belarusian_N
7515	البنغالية	bengali_3_N
8118	بر	birr_1_N
8300	بلاكفوت	blackfoot_N
9104	جذع	bole_3_N
9115	بوليفيانو	boliviano_N
9270	كِتاب	book_1_N
9394	حدّ	border_1_N
10183	البريتونية	breton_N
10872	بلغاري	bulgarian_N
11118	البورمية	burmese_2_N
11514	الكادو	caddo_N
12110	الكَنْتُونية	cantonese_N
12205	عاصِمة	capital_3_N
12282	نقِيب	captain_1_N
12491	الكاريبية	carib_N
12929	القطلونية	catalan_N
12968	كاتاوبا	catawba_N
13062	خدمة غذائية	catering_N
13090	اَلْمَذْهَب اَلْكَاثُولِيكِيّ	catholicism_N
13211	الكايوجية	cayuga_N
13224	السيبونية	cebuano_N
13580	رئِيس	chairman_N
13667	مستشار	chancellor_2_N
14013	شيشاني	chechen_N
14176	شيروكي	cherokee_N
14211	نغولترم بوتاني	chetrum_N
14227	الشايان	cheyenne_N
14286	طِفْل	child_1_N
14287	طِفْل	child_2_N
14359	صينية	chinese_N
14373	سالمون	chinook_4_N
14375	الشينوك جارجون	chinook_jargon_N
14397	الشيباوايان	chipewyan_N
14402	شيبيوا	chippewa_N
14484	الشوكتو	choctaw_N
14638	مَسِيحِيَّة	christianity_1_N
14713	لغة تشوكشي	chukchi_N
14756	التشوفاشي	chuvash_N
14945	مدِينة	city_1_N
15842	شِعَار النَبالة	coat_of_arms_N
16280	قولون	colon_3_N
16764	كُومِنوِلْث	commonwealth_3_N
16805	شُيُوعِيّ	communist_A
17859	نظر, اخذ بعين الاعتبار	consider_6_V3
17986	دستوري	constitutional_2_A
18654	القبطية	coptic_N
18713	كوردوبا	cordoba_N
18800	الكورنية	cornish_N
19096	مجْلِس	council_1_N
19227	دوْلة	country_1_N
19228	بلد	country_2_N
19774	الكرى	cree_N
20128	الغراب	crow_6_N
20462	ثَقَافَة	culture_6_N
20590	عُمْلة	currency_1_N
20596	جَارٍ	current_A
20978	التشيكية	czech_3_N
21049	الداكوتا	dakota_3_N
21050	دلاسى	dalasi_N
21166	دانماركية	danish_1_N
21193	دَرِيّ	dari_N
21665	لا مرْكزِيّة	decentralization_2_N
21757	نقْص	decline_1_N
22145	الديلوير	delaware_5_N
22351	جُمْهُورِيّة	democracy_2_N
22355	دِيْمُقْراطِي	democratic_1_A
22365	ديموغرافي	demographic_N
22868	صمم	designate_4_V2
23145	تطْوِير	development_2_N
