	en_entry	ar	pos	no_en_entry
7	authoritarian_1_A	استبدادي	A	0
31	domestic_1_A	محلي	A	0
41	following_2_A	تالي	A	0
43	free_1_A	حر	A	0
45	full_3_A	ممتلئ	A	0
50	gross_1_A	إجمالي	A	0
57	high_1_A	عالي	A	0
59	individual_4_A	فردي	A	0
72	large_1_A	كبير	A	0
76	median_3_A	الوسيط	A	0
79	moderate_1_A	معتدل	A	0
84	nordic_2_A	الشمال	A	0
87	obligatory_1_A	واجب	A	0
89	official_1_A	رسمي	A	0
106	representative_3_A	ممثل	A	0
120	square_1_A	مربع	A	0
126	total_1_A	مجموع	A	0
150	health_N	صحية	A	0
153	administrative_A	حاكم	A	0
157	added_A	مضاف	A	0
104	regime_1_N	النظام الحاكم	CN	0
158	regime_1_N	نظام	N	0
159	regime_1_N	حاكم	A	0
56	healthcare_2_N	الرعاية الصحية	CN	0
160	healthcare_2_N	رعاية	N	0
161	healthcare_2_N	صحية	N	0
130	vat_1_N	ضريبة القيمة المضافة	CN	0
162	vat_1_N	ضريبة	N	1
163	vat_1_N	قيمة	N	1
164	vat_1_N	مضافة	A	1
96	prime_minister_2_N	رئيس الوزراء	CN	0
165	prime_minister_2_N	وزير	N	0
74	magdalena_4_GN	ماجْدالينا	GN	0
81	mustafa_8_GN	مصطفى	GN	0
127	ulf_3_GN	أولْف	GN	0
1	alexandria_governorate_7_LN	محافظة الاسكندرية	LN	0
5	aswan_governorate_1_LN	محافظة أسوان	LN	0
6	asyut_governorate_3_LN	محافظة أسيوط	LN	0
8	beheira_governorate_6_LN	محافظة البحيرة	LN	0
9	beni_suef_governorate_2_LN	محافظة بني سويف	LN	0
10	bir_tawil_3_LN	بئر طويل	LN	0
11	blekinge_county_2_LN	مقاطعة بليكينج	LN	0
14	cairo_2_LN	القاهرة	LN	0
15	cairo_governorate_8_LN	محافظة القاهرة	LN	0
25	dakahlia_governorate_3_LN	محافظة الدقهلية	LN	0
26	dalarna_county_9_LN	مقاطعة دالارْنا	LN	0
27	damietta_governorate_5_LN	محافظة دمياط	LN	0
35	egypt_1_LN	مصر	LN	0
37	faiyum_governorate_1_LN	محافظة الفيوم	LN	0
46	gharbia_governorate_3_LN	محافظة الغربية	LN	0
47	giza_governorate_7_LN	محافظة الجيزة	LN	0
48	gotland_county_7_LN	مقاطعة جوتْلاند	LN	0
52	gävleborg_county_5_LN	مقاطعة يافلبورج	LN	0
53	halland_county_9_LN	مقاطعة هالاند	LN	0
62	ismailia_governorate_5_LN	محافظة الإسماعيلية	LN	0
63	jämtland_county_7_LN	مقاطعة جامتلاند	LN	0
64	jönköping_county_4_LN	مقاطعة يونشوبينغ	LN	0
65	kalmar_county_2_LN	مقاطعة كالمار	LN	0
70	kronoberg_county_1_LN	مقاطعة كرونوبيرج	LN	0
73	luxor_governorate_2_LN	محافظة الأقصر	LN	0
75	matrouh_governorate_5_LN	محافظة مطروح	LN	0
78	minya_governorate_8_LN	محافظة المنيا	LN	0
80	monufia_governorate_5_LN	محافظة المنوفية	LN	0
82	new_valley_governorate_2_LN	محافظة الوادي الجديد	LN	0
85	norrbotten_county_6_LN	مقاطعة نوربوتن	LN	0
86	north_sinai_governorate_8_LN	محافظة شمال سيناء	LN	0
92	port_said_governorate_9_LN	محافظة بورسعيد	LN	0
98	qalyubia_governorate_3_LN	محافظة القليوبية	LN	0
99	qena_governorate_2_LN	المحافظة	LN	0
103	red_sea_governorate_2_LN	محافظة البحر الأحمر	LN	0
109	russia_2_LN	روسيا	LN	0
110	scandinavia_2_LN	الدول الاسكندنافية	LN	0
111	sharqia_governorate_5_LN	محافظة الشرقية	LN	0
112	sheikh_governorate_6_LN	محافظة الشيخ	LN	0
114	skåne_county_3_LN	مقاطعة سكانيا	LN	0
115	sohag_governorate_9_LN	محافظة سوهاج	LN	0
117	south_sinai_governorate_7_LN	محافظة جنوب سيناء	LN	0
121	stockholm_county_8_LN	مقاطعة ستوكهولم	LN	0
122	sudan_1_LN	السودان	LN	0
123	suez_governorate_3_LN	محافظة السويس	LN	0
125	södermanland_county_6_LN	مقاطعة سودرمانلاند	LN	0
129	uppsala_county_7_LN	مقاطعة أوبسالا	LN	0
131	värmland_county_1_LN	مقاطعة فارملاند	LN	0
132	västerbotten_county_5_LN	مقاطعة فاستربوتن	LN	0
133	västernorrland_county_3_LN	مقاطعة غرب نورلاند	LN	0
134	västmanland_county_3_LN	مقاطعة فاستمانلاند	LN	0
135	västra_götaland_county_8_LN	مقاطعة فاسترا يوتالاند	LN	0
140	örebro_county_6_LN	مقاطعة أوريبرو	LN	0
141	östergötland_county_6_LN	مقاطعة أوسترجوتلاند	LN	0
151	care_N	رعاية	N	0
60	inflation_1_N	تضخم	N	0
152	minister_N	وزير	N	0
155	tax_N	ضريبة	N	0
156	value_N	قيمة	N	0
0	age_1_N	عمر	N	0
4	area_6_N	منطقة	N	0
12	book_1_N	كتاب	N	0
13	border_1_N	حدود	N	0
16	capital_3_N	عاصمة	N	0
17	child_1_N	طفل	N	0
18	child_2_N	طفل	N	0
19	city_1_N	مدينة	N	0
21	country_1_N	دولة	N	0
22	country_2_N	دولة	N	0
23	culture_6_N	ثقافة	N	0
24	currency_1_N	عملة	N	0
28	democracy_2_N	ديمقراطية	N	0
29	development_2_N	تطوير	N	0
30	distribution_1_N	توزيع	N	0
32	east_4_N	شرق	N	0
33	economy_1_N	اقتصاد	N	0
34	education_1_N	تعليم	N	0
36	equality_1_N	مساواة	N	0
39	fertility_1_N	خصوبة	N	0
40	flag_1_N	علَم	N	0
42	food_1_N	طعام	N	0
44	freedom_1_N	حرية	N	0
49	government_1_N	حكومة	N	0
51	growth_3_N	نمو	N	0
55	head_4_N	رأس	N	0
