,wiki_idx,en_entry,ar,vocal_forms,wiki_pos,ar_letters,senses,tim_translit,file,gender,other_gender_form,masc_pl,fem_pl,root
31,-1,added_A,مضاف,مُضاف,adj,ميم-ضمة | ضاد | ألف | فاء,[''],muDAf,157_20231122.1302_Q79_Q34,masc,,,,
1,-1,authoritarian_1_A,استبدادي,اِسْتِبْدادِي,adj,ألف-كسرة | سين-سكون | تاء-كسرة | باء-سكون | دال | ألف | دال-كسرة | ياء,[''],AisotibodAdiy,7_20231122.1302_Q79_Q34,masc,,,,
14,-1,median_3_A,الوسيط,الوَسِيط,adj,ألف | لام | واو-فتحة | سين-كسرة | ياء | طاء,[''],AlwasiyT,76_20231122.1302_Q79_Q34,masc,,,,
16,-1,nordic_2_A,الشمال,الشَّمال,adj,,[''],,84_20231122.1302_Q79_Q34,masc,,,,
2,4973,domestic_1_A,محلي,مَحَلِّيّ,adj,ميم-فتحة | حاء-فتحة | لام-شدة-كسرة | ياء-شدة,"['local, national']",maHal~iy~,31_20231122.1302_Q79_Q34,masc,مَحَلِّيَّةٌ,مَحَلِّيُّونَ,مَحَلِّيَّات,
3,117599,following_2_A,تالي,تَالِي,adj,تاء-فتحة | ألف | لام-كسرة | ياء,[''],taAliy,41_20231122.1302_Q79_Q34,masc,تَالِية,,,
7,10802,full_3_A,ممتلئ,مُمْتَلِئ,adj,ميم-ضمة | ميم-سكون | تاء-فتحة | لام-كسرة | همزة على الياء,"['full, filled, filled up, replete']",mumotali},45_20231122.1302_Q79_Q34,masc,مُمْتَلِئَةٌ,مُمْتَلِئُونَ,مُمْتَلِئَات,ملء
8,124714,gross_1_A,إجمالي,إِجْمَالِيّ,adj,همزة تحت الألف-كسرة | جيم-سكون | ميم-فتحة | ألف | لام-كسرة | ياء-شدة,"['comprehensive, general, total']",<ijomaAliy~,50_20231122.1302_Q79_Q34,masc,إِجْمَالِيَّةٌ,إِجْمَالِيُّونَ,إِجْمَالِيَّات,جمل
11,124077,individual_4_A,فردي,فَرْدِيّ,adj,فاء-فتحة | راء-سكون | دال-كسرة | ياء-شدة,"['single / individual, personal / odd, uneven']",farodiy~,59_20231122.1302_Q79_Q34,masc,فَرْدِيَّةٌ,فَرْدِيُّونَ,فَرْدِيَّات,فرد
15,115192,moderate_1_A,معتدل,مُعْتَدِل,adj,ميم-ضمة | عين-سكون | تاء-فتحة | دال-كسرة | لام,"['straight, even, proportionate / temperate, mild, moderate']",muEotadil,79_20231122.1302_Q79_Q34,masc,مُعْتَدِلَةٌ,مُعْتَدِلُونَ,مُعْتَدِلَات,عدل
