,wiki_idx,no_en_entry,en_entry,ar,vocal_forms,wiki_pos,ar_letters,senses,tim_translit,file,gender,plural,root
17,-1,0,algonquin_N,ألجونكوين,ألجونكوين,noun,همزة على الألف | لام | جيم | واو | نون | كاف | واو | ياء | نون,"[""""]",>ljwnkwyn,,,,
22,-1,0,blackfoot_N,بلاكفوت,بلاكفوت,noun,باء | لام | ألف | كاف | فاء | واو | تاء,"[""""]",blAkfwt,,,,
23,-1,0,cayuga_N,كايوجا,كايوجا,noun,كاف | ألف | ياء | واو | جيم | ألف,"[""""]",kAywjA,,,,
10,-1,0,chinese_N,صينىة,صِينِيَّة,noun,صاد-كسرة | ياء | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة,"""Chinese+fem.sg""",Siyniy~ap,,fem,,
24,-1,0,chipewyan_N,تشيبويان,تشيبويان,noun,تاء | شين | ياء | باء | واو | ياء | ألف | نون,"[""""]",t$ybwyAn,,,,
33,-1,1,demographic_N,تركيبة,تَرْكِيبُه,noun,تاء-فتحة | راء-سكون | كاف-كسرة | ياء | باء-ضمة | هاء,"""installation / assembling+its / his""",tarokiybuh,,fem,,
35,-1,0,english_N,الإنجليزية,إِنْجلِيزِيَّة,noun,ألف | لام | همزة تحت الألف-كسرة | نون-سكون | جيم | لام-كسرة | ياء | زاي-كسرة | ياء-شدة-فتحة | تاء مربوطة,"""the+English_(language)+fem.sg""",Al<inojliyziy~ap,,fem,,
41,-1,0,filipino_2_N,الفلبينية,فِلِبِّينِيَّة,noun,ألف | لام | فاء-كسرة | لام-كسرة | باء-شدة-كسرة | ياء | نون-كسرة | ياء-شدة-فتحة | تاء مربوطة,"""the+Philippine / Filipino+fem.sg""",Alfilib~iyniy~ap,,fem,,
44,-1,0,finnish_N,الفنلندية,فِنْلَنْدِيَّة,noun,ألف | لام | فاء-كسرة | نون-سكون | لام-فتحة | نون-سكون | دال-كسرة | ياء-شدة-فتحة | تاء مربوطة,"""the+Finnish+fem.sg""",Alfinolanodiy~ap,,fem,,
45,-1,0,haida_N,هيدا,هيدا,noun,هاء | ياء | دال | ألف,"[""""]",hydA,,,,
64,-1,0,mohawk_2_N,موهوك,مَوَّهُوك,noun,,"[""""]",,,,,
65,-1,0,oneida_N,أونيدا,أونيدا,noun,همزة على الألف | واو | نون | ياء | دال | ألف,"[""""]",>wnydA,,,,
66,-1,0,onondaga_N,أونونداجا,أونونداجا,noun,همزة على الألف | واو | نون | واو | نون | دال | ألف | جيم | ألف,"[""""]",>wnwndAjA,,,,
71,-1,0,swedish_N,السويدية,سُوِيدِيَّة,noun,ألف | لام | سين-ضمة | واو-كسرة | ياء | دال-كسرة | ياء-شدة-فتحة | تاء مربوطة,"""the+Swedish+fem.sg""",Alsuwiydiy~ap,,fem,,
73,-1,0,tlingit_N,تلينغيت,تلينغيت,noun,تاء | لام | ياء | نون | غين | ياء | تاء,"[""""]",tlyngyt,,,,
74,-1,0,tsimshian_N,تسيمشيان,تسيمشيان,noun,تاء | سين | ياء | ميم | شين | ياء | ألف | نون,"[""""]",tsym$yAn,,,,
77,-1,0,yiddish_N,اليديشية,يديشية,noun,ألف | لام | ياء | دال | ياء | شين | ياء | تاء مربوطة,"[""""]",Alydy$yp,,,,
30,24287,0,cree_N,كري,كري,noun,,['spherical'],,,,,
