,wordnet_entry,translation,status,phrase
0,ada_PN,,unknown,
1,ana_1_PN,,unknown,
2,approx_PN,,unknown,
3,aruru_PN,,unknown,
4,asap_PN,,unknown,
5,bannockburn_PN,بانوكبيرن,google-translated,
6,bellarmine_1_PN,بيلارمين,google-translated,
7,blackwood_1_PN,بلاكوود,manual,
8,blackwood_2_PN,بلاكوود,manual,
9,bldg_PN,,unknown,
10,bldgs_PN,,unknown,
11,bourne_1_PN,,unknown,
12,breedsall_PN,,unknown,
13,bst_PN,,unknown,
14,bt_PN,,unknown,
15,bury_st__edmunds_PN,,unknown,
16,c_in_c_PN,,unknown,
17,calor_PN,,unknown,
18,capt_PN,,unknown,
19,cd_PN,,unknown,
20,cdr_PN,,unknown,
21,cdre_PN,,unknown,
22,chengchow_PN,تشنغتشو,google-translated,
23,chosen_2_PN,تشوزين,manual,
24,cif_PN,سيف,unknown,
25,civvy_street_PN,شارع سيفي,google-translated,1
26,clackmannon_PN,كلاكمانون,google-translated,
27,cm_PN,سم,google-translated,
28,cod_PN,القد,unknown,
29,col_PN,كول,unknown,
30,commonwealth_PN,الكومنولث,manual,
31,cons_PN,كونز,unknown,
32,cont_PN,كونت,unknown,
33,core_PN,كوور,unknown,
34,cp_PN,حزب المحافظين,unknown,
35,cpl_PN,العريف,unknown,
36,dep_PN,قسم,unknown,
37,dept_PN,قسم,unknown,
38,di_PN,دي,unknown,
39,dipper_2_PN,قحافة,unknown,
40,don_4_PN,اِتَّشَح,unknown,
41,doris_1_PN,دوريس,unknown,
42,doris_2_PN,دوريس,unknown,
43,dr_PN,دكتور,unknown,
44,dupl_PN,مزدوج,unknown,
45,ec_PN,المفوضية الأوروبية,google-translated,1
46,ed_PN,إد,unknown,
47,eec_PN,الجماعة الاقتصادية الأوروبية,google-translated,1
48,eg_PN,على سبيل المثال,unknown,
49,eno_PN,إينو,unknown,
50,esq_PN,إسق,unknown,
51,et_al_PN,وآخرون,unknown,
52,et_seq_PN,وما يليها,unknown,
53,etc_PN,إلخ,unknown,
54,excl_PN,غير شامل,unknown,
55,fem_PN,فيم,unknown,
56,freedom_in_the_world_PN,الحرية في العالم,unknown,
57,fwd_PN,دفع أمامي,unknown,
58,gdn_PN,شبكة التنمية العالمية,unknown,
59,gdns_PN,نظام أسماء النطاقات,unknown,
60,gen_PN,الجنرال,unknown,
61,gene_PN,الجين,unknown,
62,ghq_PN,جي كيو,unknown,
63,golbourne_PN,جولبورن,google-translated,
64,gov_PN,حاكم,unknown,
65,gravenhage_PN,غرافينهاج,google-translated,
66,guy's_PN,شباب,unknown,
67,halcyon_PN,هالسيون,google-translated,
68,hangchon_PN,هانجتشون,google-translated,
69,hdi_PN,هدى,unknown,
70,hebden_royal_PN,هيبدن رويال,google-translated,1
71,hero_6_PN,بطل,unknown,
72,hon_PN,حضرة,unknown,
73,hoo_PN,هوو,unknown,
74,hotspur_1_PN,هوتسبير,google-translated,
75,hrh_PN,صاحب السمو الملكي,unknown,
76,huhehot_PN,هوهيهوت,google-translated,
77,hwainan_PN,هوينان,google-translated,
78,ibid_PN,المرجع نفسه,unknown,
79,ida_PN,إيدا,unknown,
80,idem_PN,شرحه,unknown,
81,ie_PN,أي,unknown,
82,ifc_PN,مؤسسة التمويل الدولية,google-translated,1
83,inc_PN,شركة,unknown,
84,inchon_2_PN,انشون,google-translated,
85,incl_PN,بما في ذلك,unknown,
86,inst_PN,انست,unknown,
87,jc_PN,جي سي,unknown,
88,jnr_PN,الابن,unknown,
89,jonathan_PN,جوناثان,google-translated,
90,judith_1_PN,جوديث,google-translated,
91,kendal_PN,كيندال,google-translated,
92,kgb_PN,الكي-جي-بي,google-translated,
93,landscapist_2_PN,المناظر الطبيعية,unknown,
94,lazarus_2_PN,لعازر,google-translated,
95,lbw_PN,رطل,unknown,
96,li_PN,لي,unknown,
97,loc_cit_PN,لوك سيتي,unknown,
98,lt_PN,الملازم أول,unknown,
99,ltd_PN,المحدودة,unknown,
100,lug_1_PN,العروة,unknown,
101,maldon_PN,مالدون,google-translated,
102,mama_2_PN,ماما,unknown,
103,mara_1_PN,مارا,unknown,
104,masc_PN,قناع,unknown,
105,met_PN,التقى,unknown,
106,mg_PN,ملغ,unknown,
107,mgr_PN,المونسنيور,unknown,
108,michaelmas_PN,ميخائيلماس,google-translated,
109,misc_PN,متنوعات,unknown,
110,mlle_PN,مللي,unknown,
111,mme_PN,سيدتي,google-translated,
112,moloch_1_PN,مولوخ,google-translated,
113,mormon_1_PN,المورمون,google-translated,
114,mountain_ash_1_PN,رماد الجبل,google-translated,1
115,mountain_ash_2_PN,رماد الجبل,google-translated,1
116,mt_4_PN,جبل,unknown,
117,mull_2_PN,مول,unknown,
118,nb_2_PN,ملحوظة,unknown,
119,neddy_PN,نيدي,unknown,
120,nr_PN,لا,unknown,
121,oersted_2_PN,أورستد,google-translated,
122,op_PN,مرجع سابق,unknown,
123,op_cit_PN,Op-Cit,unknown,
124,opcw_PN,منظمة حظر الأسلحة الكيميائية,google-translated,1
125,orleans_2_PN,اورليانز,google-translated,
126,paotow_PN,باوتو,unknown,
127,paye_PN,باي,unknown,
128,pembroke_PN,بيمبروك,unknown,
129,plc_PN,بي إل سي,unknown,
130,po_4_PN,بو,unknown,
131,pompadour_1_PN,بومبادور,google-translated,
132,pont_llan_fraith_PN,بونت لان فريث,google-translated,
133,prof_PN,البروفيسور,google-translated,
134,prudhoe_PN,برودو,google-translated,
135,psyche_PN,روح,unknown,
136,pte_PN,بي تي إي,unknown,
137,pto_PN,قدرة النقل,unknown,
138,pty_PN,شركة خاصة,unknown,
139,qibla_2_PN,القبلة,google-translated,
140,quai_d'orsay_1_PN,كواي دورساي,unknown,
141,queenborough_in_sheppey_PN,كوينبورو إن شيبي,unknown,
142,qv_PN,QV,unknown,
143,rc_PN,RC,unknown,
144,rd_PN,بحث وتطوير,unknown,
145,rec_PN,تفصيل,unknown,
146,recd_PN,سجل,unknown,
147,ret_PN,متقاعد,unknown,
148,retd_PN,متقاعد,unknown,
149,rev_PN,القس,unknown,
150,rt_hon_PN,الرايت هون,unknown,
151,sao_paolo_PN,ساو باولو,google-translated,
152,sealyham_1_PN,سيليهام,google-translated,
153,sec_PN,ثانية,google-translated,
154,sgd_PN,سنغافوري,unknown,
155,sgt_PN,الرقيب,unknown,
156,shape_7_PN,شكل,unknown,
157,shihkiachwang_PN,شيهكياتشوانغ,google-translated,
158,sining_PN,سينج,google-translated,
159,sinn_fein_PN,الشين فين,google-translated,1
160,snr_PN,كبير,unknown,
