,wordnet_entry,translation,status,phrase
0,alger_SN,ألجر,,
1,ali_SN,علي,google-translated,
2,allen_SN,ألين,google-translated,
3,anthony_SN,أنتوني,google-translated,
4,bacon_SN,بيكون,,
5,baedeker_SN,باديكير,google-translated,
6,bailey_SN,بيلي,google-translated,
7,balboa_SN,بالبوا,google-translated,
8,ball_SN,بول,,
9,bannister_SN,بانيستر,google-translated,
10,banting_SN,بانتينج,google-translated,
11,barber_SN,باربر,,
12,bartlett_SN,بارتليت,google-translated,
13,beadle_SN,بيدل,,
14,becket_SN,بيكيت,google-translated,
15,bell_SN,بيل,google-translated,
16,bellow_SN,بيلو,google-translated,
17,benedick_SN,بنديك,google-translated,
18,benny_SN,بيني,google-translated,
19,berg_SN,بيرج,google-translated,
20,berlin_SN,برلين,google-translated,
21,bernard_SN,برنارد,google-translated,
22,berry_SN,بيري,google-translated,
23,best_SN,بيست,,
24,bethune_SN,بيتون,google-translated,
25,biddulph_SN,بيدولف,google-translated,
26,black_SN,بلاك,,
27,blackhall_SN,بلاكهول,google-translated,
28,boldon_SN,بولدون,google-translated,
29,bond_SN,بوند,,
30,booth_SN,بوث,,
31,borders_SN,بوردر,,
32,bowie_SN,باوي,google-translated,
33,bradford_SN,برادفورد,google-translated,
34,braille_SN,برايل,google-translated,
35,bros_SN,بروس,google-translated,
36,brown_SN,براون,,
37,bruce_SN,بروس,google-translated,
38,bryan_SN,بريان,google-translated,
39,buck_SN,بَك,google-translated,
40,bullfinch_SN,بولفينش,,
41,bunsen_SN,بنسن,google-translated,
42,burgess_SN,بيرجس,google-translated,
43,burgher_SN,بورغر,google-translated,
44,burr_SN,بور,,
45,burton_SN,بيرتون,google-translated,
46,bush_SN,بوش,,
47,butler_SN,بوتلر,google-translated,
48,caesar_SN,قيصر,google-translated,
49,cage_SN,كيج,,
50,carrel_SN,كاريل,google-translated,
51,carron_SN,كارون,google-translated,
52,carter_SN,كارتر,google-translated,
53,cartwright_SN,كارترايت,google-translated,
54,carver_SN,كارفر,google-translated,
55,cash_SN,كاش,,
56,cavalier_SN,كافالير,google-translated,
57,chain_SN,تشين,,
58,chamberlain_SN,تشامبرلين,google-translated,
59,chandler_SN,تشاندلر,google-translated,
60,chapman_SN,تشابمان,google-translated,
61,chase_SN,يطارد,google-translated,
62,chippendale_SN,شيبنديل,google-translated,
63,clay_SN,كلاي,,
64,cleveland_SN,كليفلاند,google-translated,
65,clive_SN,كلايف,google-translated,
66,coca_SN,كوكا,google-translated,
67,collins_SN,كولينز,google-translated,
