index	ar	en
0	مُطلَق	absolute_3_A
1	مُطلَق	absolute_3_A
2	أفْغانِيّ	afghani_1_N
3	أفْغانِيّ	afghani_1_N
4	سِنّ	age_1_N
5	سِنّ	age_1_N
6	سِنّ	age_1_N
7	عربي	arabic_A
8	عربي	arabic_A
9	عربي	arabic_A
10	مِنْطقة	area_6_N
11	مِنْطقة	area_6_N
12	مِنْطقة	area_6_N
13	آشوري	assyrian_2_N
14	آشوري	assyrian_2_N
15	منع	ban_2_N
16	منع	ban_2_N
17	بيلاروسي	belarusian_N
18	بيلاروسي	belarusian_N
19	بر	birr_1_N
20	بر	birr_1_N
21	بر	birr_1_N
22	بر	birr_1_N
23	بر	birr_1_N
24	بر	birr_1_N
27	كِتاب	book_1_N
28	كِتاب	book_1_N
29	كِتاب	book_1_N
30	حدّ	border_1_N
31	حدّ	border_1_N
32	حدّ	border_1_N
33	حدّ	border_1_N
34	حدّ	border_1_N
35	حدّ	border_1_N
36	حدّ	border_1_N
37	حدّ	border_1_N
38	بلغاري	bulgarian_N
39	بلغاري	bulgarian_N
40	رئِيس	chairman_N
41	رئِيس	chairman_N
42	صينية	chinese_N
43	صينية	chinese_N
44	صينية	chinese_N
45	صينية	chinese_N
46	مَسِيحِيَّة	christianity_1_N
47	مَسِيحِيَّة	christianity_1_N
48	شُيُوعِيّ	communist_A
49	شُيُوعِيّ	communist_A
50	دستوري	constitutional_2_A
51	دستوري	constitutional_2_A
52	بلد	country_2_N
53	بلد	country_2_N
54	بلد	country_2_N
55	عُمْلة	currency_1_N
56	عُمْلة	currency_1_N
57	عُمْلة	currency_1_N
58	جَارٍ	current_A
59	جَارٍ	current_A
60	جَارٍ	current_A
61	جَارٍ	current_A
62	جَارٍ	current_A
63	دَرِيّ	dari_N
64	دَرِيّ	dari_N
65	دَرِيّ	dari_N
66	نقْص	decline_1_N
67	نقْص	decline_1_N
68	نقْص	decline_1_N
69	نقْص	decline_1_N
70	نقْص	decline_1_N
71	نقْص	decline_1_N
72	نقْص	decline_1_N
73	نقْص	decline_1_N
74	جُمْهُورِيّة	democracy_2_N
75	جُمْهُورِيّة	democracy_2_N
76	جُمْهُورِيّة	democracy_2_N
77	دِيْمُقْراطِي	democratic_1_A
78	دِيْمُقْراطِي	democratic_1_A
79	صمم	designate_4_V2
80	صمم	designate_4_V2
81	هولندي	dutch_N
82	هولندي	dutch_N
83	شرق	east_4_N
84	شرق	east_4_N
85	شرق	east_4_N
86	مُساواة	equality_1_N
87	مُساواة	equality_1_N
88	علم	flag_1_N
89	علم	flag_1_N
90	علم	flag_1_N
91	علم	flag_1_N
92	علم	flag_1_N
93	خَلَل	flaw_3_N
94	خَلَل	flaw_3_N
95	خَلَل	flaw_3_N
96	خَلَل	flaw_3_N
97	خَلَل	flaw_3_N
98	دقِيق	flour_N
99	دقِيق	flour_N
100	سابق	former_3_A
101	سابق	former_3_A
102	حُرّ	free_1_A
103	حُرّ	free_1_A
104	حُرّ	free_1_A
105	فرنسية	french_N
106	فرنسية	french_N
107	ملك	have_1_V2
108	ملك	have_1_V2
109	ملك	have_1_V2
110	ملك	have_1_V2
111	ملك	have_1_V2
112	ملك	have_1_V2
113	ملك	have_1_V2
114	ملك	have_1_V2
115	ملك	have_1_V2
116	ملك	have_1_V2
117	عال	high_1_A
118	عال	high_1_A
119	عال	high_1_A
120	عال	high_1_A
121	عال	high_1_A
122	عال	high_1_A
123	فُنْدُق	hotel_N
124	فُنْدُق	hotel_N
125	بشر	human_N
126	بشر	human_N
127	بشر	human_N
128	بشر	human_N
129	بشر	human_N
130	بشر	human_N
131	بشر	human_N
132	بشر	human_N
133	هجن	hybrid_A
134	هجن	hybrid_A
135	دخْل	income_N
136	دخْل	income_N
137	دخْل	income_N
138	دخْل	income_N
139	دَلِيل	index_2_N
140	دَلِيل	index_2_N
141	شَخْصي	individual_4_A
142	شَخْصي	individual_4_A
143	تفاوت	inequality_N
144	تفاوت	inequality_N
145	تضخُّم	inflation_1_N
146	تضخُّم	inflation_1_N
147	إيطالية	italian_N
148	إيطالية	italian_N
149	إيطالية	italian_N
150	إيطالية	italian_N
151	كم	kilometre_1_N
152	كم	kilometre_1_N
153	كم	kilometre_1_N
154	كم	kilometre_1_N
155	كم	kilometre_1_N
156	كم	kilometre_1_N
157	ملك	king_1_N
158	ملك	king_1_N
159	ملك	king_1_N
160	ملك	king_1_N
161	ملك	king_1_N
162	ملك	king_1_N
163	ملك	king_1_N
164	ملك	king_1_N
165	ملك	king_1_N
166	ملك	king_1_N
167	كبِير	large_1_A
168	كبِير	large_1_A
169	لاتفي	latvian_N
170	لاتفي	latvian_N
171	لاتفي	latvian_N
172	لاتفي	latvian_N
173	رئِيس	leader_1_N
174	رئِيس	leader_1_N
175	مُنْخَفِض	low_1_A
176	مُنْخَفِض	low_1_A
177	عسْكرِي	military_2_A
178	عسْكرِي	military_2_A
179	ملكِيّة	monarchy_N
180	ملكِيّة	monarchy_N
181	ملكِيّة	monarchy_N
182	أُمّ	mother_1_N
183	أُمّ	mother_1_N
184	أُمّ	mother_1_N
185	أُمّ	mother_1_N
186	أُمّ	mother_1_N
187	أُمّ	mother_1_N
188	مسلم	muslim_A
189	مسلم	muslim_A
190	مسلم	muslim_A
191	مسلم	muslim_A
192	شمال	north_3_N
193	شمال	north_3_N
194	شمال	north_3_N
195	شمال	north_3_N
196	رسْمِيّ	official_1_A
197	رسْمِيّ	official_1_A
198	رسْمِيّ	official_1_A
199	رسمي	official_3_A
200	رسمي	official_3_A
201	رسمي	official_3_A
202	أُرْثُوذُكْسِيّ	orthodox_3_A
203	أُرْثُوذُكْسِيّ	orthodox_3_A
204	برلماني	parliamentary_2_A
205	برلماني	parliamentary_2_A
206	رئِيس	presidentFem_3_N
207	رئِيس	presidentFem_3_N
208	رئِيس	presidentMasc_3_N
209	رئِيس	presidentMasc_3_N
210	مَلِكَة	queen_2_N
211	مَلِكَة	queen_2_N
212	وَضَعَ	rank_2_V2
213	وَضَعَ	rank_2_V2
214	سِعْر	rate_2_N
215	سِعْر	rate_2_N
216	سِعْر	rate_2_N
217	معدل	rate_4_N
218	معدل	rate_4_N
219	قَيِّم	regent_1_N
220	قَيِّم	regent_1_N
221	قَيِّم	regent_1_N
222	دِين	religion_2_N
223	دِين	religion_2_N
224	دِين	religion_2_N
225	دِين	religion_2_N
226	دِين	religion_2_N
227	جمهورية	republic_2_N
228	جمهورية	republic_2_N
229	جمهورية	republic_2_N
230	روسي	russian_N
231	روسي	russian_N
232	عرض	show_2_V2
233	عرض	show_2_V2
234	عرض	show_2_V2
235	عرض	show_2_V2
236	عرض	show_2_V2
237	عرض	show_2_V2
238	عرض	show_2_V2
239	عرض	show_2_V2
240	عرض	show_2_V2
241	عرض	show_2_V2
242	عرض	show_2_V2
243	عرض	show_2_V2
244	جنُوب	south_3_N
245	جنُوب	south_3_N
246	جنُوب	south_3_N
247	إسباني	spanish_N
248	إسباني	spanish_N
249	تكلم	speak_3_V2
250	تكلم	speak_3_V2
251	تكلم	speak_3_V2
252	تكلم	speak_3_V2
253	تكلم	speak_3_V2
254	تكلم	speak_3_V2
255	تكلم	speak_3_V2
256	تكلم	speak_3_V2
257	مربع	square_1_A
258	مربع	square_1_A
259	مربع	square_1_A
260	نشاء	starch_1_N
261	نشاء	starch_1_N
262	نشاء	starch_1_N
263	نشاء	starch_1_N
264	نشاء	starch_1_N
265	نشاء	starch_1_N
266	نجح	succeed_V2
267	نجح	succeed_V2
268	رسْم	tax_N
269	رسْم	tax_N
270	رسْم	tax_N
271	إِرْهابِيّ	terrorist_N
272	إِرْهابِيّ	terrorist_N
273	تايلاندي	thai_N
274	تايلاندي	thai_N
275	تايلاندي	thai_N
276	مجموع	total_1_A
277	مجموع	total_1_A
278	تركية	turkish_N
279	تركية	turkish_N
280	تركية	turkish_N
281	ماء	water_1_N
282	ماء	water_1_N
283	غرْب	west_2_N
284	غرْب	west_2_N
285	غرْب	west_2_N
286	غرْب	west_2_N
287	غرْب	west_2_N
288	غرْب	west_2_N
289	غرْب	west_2_N
290	غرْب	west_2_N
291	عالم	world_1_N
292	عالم	world_1_N
293	عالم	world_5_N
294	عالم	world_5_N
295	سنة	year_1_N
296	سنة	year_1_N
297	سنة	year_1_N
298	ين	yen_2_N
299	ين	yen_2_N
