# P212
# ISBN-13
1,ISBN,PROPN,0,root
2,-13[-],NUM[PUNCT],1,dep[punct]
<none>[3],<none>[13],<none>[NUM],<none>[1],<none>[nummod]

# P218
# ISO 639-1 code
1,ISO,PROPN,2[4],nsubj[compound]
2,639,NUM,0[1],root[nummod]
3,-[-1],SYM[NUM],4[1],case[nummod]
4,1[code],NUM[NOUN],2[0],nmod[root]
5[<none>],code[<none>],NOUN[<none>],2[<none>],nmod[<none>]

# P220
# ISO 639-3 code
1,ISO,PROPN,2[4],nsubj[compound]
2,639,NUM,0[1],root[nummod]
3,-[-3],SYM[NUM],4[1],case[nummod]
4,3[code],NUM[NOUN],2[0],nmod[root]
5[<none>],code[<none>],NOUN[<none>],2[<none>],nmod[<none>]

# P269
# IdRef ID
1,Id[IdRef],NOUN[PROPN],3[2],compound
2,Ref[ID],NOUN[PROPN],3[0],compound[root]
3[<none>],ID[<none>],NOUN[<none>],0[<none>],root[<none>]

# P297
# ISO 3166-1 alpha-2 code
1,ISO,PROPN,2[0],compound[root]
2,3166,NUM,0[1],root[nummod]
3,-[-1],SYM[NUM],4[1],case[nummod]
4,1[alpha],NUM[NOUN],2[7],nmod[compound]
5,alpha[-],NOUN[PUNCT],2[4],appos[punct]
6,-[2],SYM[NUM],8[4],case[nummod]
7,2[code],NUM[NOUN],8[1],nummod[appos]
8[<none>],code[<none>],NOUN[<none>],5[<none>],nmod[<none>]

# P298
# ISO 3166-1 alpha-3 code
1,ISO,PROPN,2[0],compound[root]
2,3166,NUM,0[1],root[nummod]
3,-[-1],SYM[NUM],4[1],case[nummod]
4,1[alpha],NUM[NOUN],2[6],nmod[compound]
5,alpha[-3],NOUN[NUM],2[6],appos[nummod]
6,-[code],SYM[NOUN],8[1],case[list]
7[<none>],3[<none>],NUM[<none>],8[<none>],nummod[<none>]
8[<none>],code[<none>],NOUN[<none>],5[<none>],nmod[<none>]

# P299
# ISO 3166-1 numeric code
1,ISO,PROPN,2[5],compound
2,3166,NUM,0[1],root[nummod]
3,-[-1],SYM[NUM],4[1],case[nummod]
4,1[numeric],NUM[ADJ],2[5],nmod[amod]
5,numeric[code],ADJ[NOUN],6[0],amod[root]
6[<none>],code[<none>],NOUN[<none>],2[<none>],nmod[<none>]

# P301
# category's main topic
1[1-2],category[category's],NOUN[_],4[_],nmod:poss[_]
2[1],'s[category],PART[NOUN],1[4],case[nmod:poss]
3[2],main['s],ADJ[PART],4[1],amod[case]
4[3],topic[main],NOUN[ADJ],0[4],root[amod]
<none>[4],<none>[topic],<none>[NOUN],<none>[0],<none>[root]

# P304
# page (s)
1,page(s[page],NOUN,0,root
2,)[(],PUNCT,1,punct
<none>[3],<none>[s],<none>[ADJ],<none>[1],<none>[amod]
<none>[4],<none>[)],<none>[PUNCT],<none>[1],<none>[punct]

# P368
# Sandbox-CommonsMediaFile
1,Sandbox-CommonsMediaFile[Sandbox],X[NOUN],0,root
<none>[2],<none>[-],<none>[PUNCT],<none>[1],<none>[punct]
<none>[3],<none>[CommonsMediaFile],<none>[PROPN],<none>[1],<none>[appos]

# P493
# ICD-9
1,ICD-9[ICD],PROPN,0,root
<none>[2],<none>[-],<none>[PUNCT],<none>[1],<none>[punct]
<none>[3],<none>[9],<none>[NUM],<none>[1],<none>[nummod]

# P494
# ICD-10
1,ICD,PROPN,0,root
2,-10[-],NUM[PUNCT],1,dep[punct]
<none>[3],<none>[10],<none>[NUM],<none>[1],<none>[nummod]

# P527
# has part (s)
1,has,VERB,0,root
2,part(s[part],NOUN,1,obj
3,)[(],PUNCT,1[2],punct
<none>[4],<none>[s],<none>[ADJ],<none>[2],<none>[amod]
<none>[5],<none>[)],<none>[PUNCT],<none>[2],<none>[punct]

# P578
# Sandbox-TimeValue
1,Sandbox[Sandbox-],NOUN,0[2],root[compound]
2,-[TimeValue],PUNCT[PROPN],1[0],punct[root]
3[<none>],TimeValue[<none>],PROPN[<none>],1[<none>],flat[<none>]

# P626
# Sandbox-GeoCoordinateValue
1,Sandbox,NOUN,0,root
2,-GeoCoordinateValue[-],X[PUNCT],1,flat[punct]
<none>[3],<none>[GeoCoordinateValue],<none>[PROPN],<none>[1],<none>[appos]

# P663
# DSM-IV classification
1,DSM,PROPN,3,compound
2,-IV[-],NUM[PUNCT],3,nummod[punct]
3,classification[IV],NOUN[PROPN],0[4],root[compound]
<none>[4],<none>[classification],<none>[NOUN],<none>[0],<none>[root]

# P673
# eMedicine ID
1,e[eMedicine],NOUN[PROPN],3[2],compound
2,Medicine[ID],NOUN[PROPN],3[0],compound[root]
3[<none>],ID[<none>],NOUN[<none>],0[<none>],root[<none>]

# P694
# replaced synonym (for nom. nov.)
1,replaced,VERB,2,amod
2,synonym,NOUN,0,root
3,(,PUNCT,5[6],punct
4,for,ADP,5[6],case
5,nom.,NOUN,2[6],nmod[compound]
6,nov.[nov],PROPN[NOUN],5[2],nmod:tmod[nmod]
7,)[.],PUNCT,5[2],punct
<none>[8],<none>[)],<none>[PUNCT],<none>[2],<none>[punct]

# P713
"# Nickel-Strunz '10th ed', review of (9th ed/ 2009 update)"
1,Nickel,PROPN,0[3],root[compound]
2,-,PUNCT,1[3],punct
3,Strunz,PROPN,1[8],flat[compound]
4,',PUNCT,6,punct
5,10th,ADJ,6,amod
6[6-7],"ed[ed',]",NOUN[_],1[_],list[_]
7[6],'[ed],PUNCT[NOUN],6[8],punct[compound]
8[7],",[',]",PUNCT,9[6],punct
9[8],review,NOUN,1[0],parataxis[root]
10[9],of,ADP,15[14],case
11[10],(,PUNCT,15[14],punct
