,property_id,entity,entity_count,prop_label
0,P1000,"['Q1189', 'Q1659', 'Q1665', 'Q1668', 'Q1679', 'Q1739', 'Q1742', 'Q1789', 'Q3773', 'Q5442', 'Q5444', 'Q5450', 'Q5821', 'Q9119', 'Q9124', 'Q15510', 'Q26172', 'Q28736', 'Q31081', 'Q31082', 'Q31083', 'Q40244', 'Q52596', 'Q52604', 'Q52614', 'Q52620', 'Q52627', 'Q52651', 'Q57243', 'Q63223', 'Q83905', 'Q90365', 'Q131237', 'Q154559', 'Q171500', 'Q178877', 'Q180891', 'Q184556', 'Q185027', 'Q190924', 'Q201830', 'Q208693', 'Q209390', 'Q213812', 'Q217358', 'Q218677', 'Q223779', 'Q229046', 'Q229710', 'Q231965', 'Q231983', 'Q232008', 'Q233273', 'Q233683', 'Q234395', 'Q235688', 'Q237567', 'Q241327', 'Q241366', 'Q242402', 'Q254087', 'Q255824', 'Q256196', 'Q261594', 'Q262259', 'Q263230', 'Q263901', 'Q268987', 'Q271463', 'Q271952', 'Q273243', 'Q273953', 'Q274636', 'Q287735', 'Q296309', 'Q309986', 'Q310015', 'Q311300', 'Q311338', 'Q312655', 'Q313176', 'Q313799', 'Q314712', 'Q322491', 'Q354321', 'Q355296', 'Q362362', 'Q362389', 'Q365144', 'Q366215', 'Q438929', 'Q440709', 'Q442320', 'Q443605', 'Q448106', 'Q448599', 'Q449724', 'Q450497', 'Q451509', 'Q452229', 'Q452605', 'Q454958', 'Q456857', 'Q457099', 'Q463123', 'Q493101', 'Q510505', 'Q510525', 'Q518358', 'Q520969', 'Q534015', 'Q544709', 'Q549312', 'Q549627', 'Q550398', 'Q558701', 'Q586169', 'Q586950', 'Q612347', 'Q640504', 'Q680748', 'Q687586', 'Q692183', 'Q703242', 'Q706342', 'Q707012', 'Q709532', 'Q720491', 'Q735924', 'Q788077', 'Q876737', 'Q941469', 'Q945896', 'Q947564', 'Q947964', 'Q949020', 'Q949486', 'Q949816', 'Q950340', 'Q957543', 'Q962562', 'Q981147', 'Q982598', 'Q982605', 'Q1044585', 'Q1065696', 'Q1139622', 'Q1200016', 'Q1241356', 'Q1343502', 'Q1427211', 'Q1566700', 'Q1566756', 'Q1638830', 'Q1755944', 'Q1829791', 'Q2198889', 'Q2344439', 'Q2599604', 'Q3046072', 'Q3088321', 'Q3195752', 'Q3304858', 'Q4115786', 'Q4581223', 'Q4697994', 'Q4705643', 'Q4710838', 'Q5092701', 'Q5494165', 'Q5717831', 'Q6851014', 'Q7344468', 'Q9370678', 'Q14623252', 'Q14638241', 'Q15615329', 'Q16543347', 'Q20740797', 'Q20745588', 'Q20976240', 'Q22001922', 'Q23909130', 'Q24951757', 'Q25350184', 'Q25366209', 'Q26455795', 'Q33259050', 'Q36339156', 'Q38236692', 'Q41532727', 'Q47890862', 'Q55191625', 'Q107619662', 'Q107649270']",195,record held
2,P1002,"['Q31170', 'Q61418', 'Q127110', 'Q172672', 'Q173384', 'Q207700', 'Q245272', 'Q277850', 'Q371480', 'Q377596', 'Q464247', 'Q496735', 'Q543236', 'Q602185', 'Q607758', 'Q608997', 'Q630010', 'Q678276', 'Q699433', 'Q720837', 'Q748146', 'Q748454', 'Q786848', 'Q790766', 'Q796376', 'Q796493', 'Q897594', 'Q901252', 'Q912540', 'Q917913', 'Q917964', 'Q943299', 'Q972048', 'Q1157613', 'Q1414821', 'Q1478248', 'Q1514324', 'Q1634456', 'Q1737104', 'Q1770785', 'Q1813047', 'Q1813068', 'Q1851343', 'Q1852043', 'Q1861637', 'Q1989109', 'Q2009683', 'Q2063609', 'Q2107993', 'Q2164346', 'Q2530514', 'Q2576663', 'Q2610647', 'Q3295336', 'Q3295589', 'Q3510742', 'Q3805822', 'Q4793979', 'Q5892326', 'Q5892456', 'Q6407533', 'Q6414071', 'Q7238743', 'Q7964925', 'Q7965853', 'Q7965948', 'Q7966334', 'Q8038249', 'Q8038250', 'Q8038252', 'Q15921165', 'Q28404921', 'Q28648957']",73,engine configuration
4,P1011,"['Q20', 'Q29', 'Q30', 'Q32', 'Q2013', 'Q34', 'Q39', 'Q105', 'Q127', 'Q128', 'Q129', 'Q130', 'Q142', 'Q143', 'Q150', 'Q152', 'Q159', 'Q215', 'Q307', 'Q352', 'Q364', 'Q408', 'Q458', 'Q501', 'Q504', 'Q535', 'Q589', 'Q619', 'Q656', 'Q755', 'Q777', 'Q829', 'Q1151', 'Q1196', 'Q1202', 'Q1206', 'Q1208', 'Q1321', 'Q1398', 'Q1402', 'Q2042', 'Q2331', 'Q2754', 'Q2793', 'Q2908', 'Q3073', 'Q5372', 'Q5389', 'Q5936', 'Q6742', 'Q7194', 'Q7797', 'Q8079', 'Q8332', 'Q8481', 'Q8811', 'Q8819', 'Q9202', 'Q10782', 'Q11701', 'Q12652', 'Q12717', 'Q13708', 'Q13714', 'Q13737', 'Q13750', 'Q13786', 'Q13791', 'Q13794', 'Q13825', 'Q13841', 'Q13844', 'Q13845', 'Q13860', 'Q13862', 'Q13869', 'Q13870', 'Q13872', 'Q13882', 'Q13895', 'Q13900', 'Q14560', 'Q16313', 'Q23306', 'Q23733', 'Q25222', 'Q25308', 'Q25363', 'Q27415', 'Q27436', 'Q28635', 'Q29570', 'Q30014', 'Q32488', 'Q34358', 'Q34718', 'Q40821', 'Q41323', 'Q44403', 'Q45330', 'Q45546', 'Q45556', 'Q46360', 'Q47180', 'Q48298', 'Q49325', 'Q49762', 'Q51600', 'Q53093', 'Q58635', 'Q60025', 'Q60644', 'Q60995', 'Q61594', 'Q61601', 'Q63699', 'Q64039', 'Q66055', 'Q68959', 'Q75889', 'Q76906', 'Q77204', 'Q79784', 'Q80767', 'Q81228', 'Q92096', 'Q117315', 'Q120963', 'Q121393', 'Q121439', 'Q125076', 'Q127134', 'Q129003', 'Q131519', 'Q133154', 'Q133329', 'Q133488', 'Q141037', 'Q146567', 'Q150471', 'Q153232', 'Q156201', 'Q158159', 'Q160020', 'Q161174', 'Q164071', 'Q164746', 'Q165008', 'Q165257', 'Q165413', 'Q179299', 'Q179351', 'Q180046', 'Q181276', 'Q182955', 'Q184018', 'Q184224', 'Q185607', 'Q187846', 'Q189068', 'Q192056', 'Q192234', 'Q192409', 'Q192422', 'Q192573', 'Q194427', 'Q201781', 'Q205704', 'Q207254', 'Q208140', 'Q209733', 'Q212699', 'Q212845', 'Q214483', 'Q216042', 'Q216796', 'Q217530', 'Q219666', 'Q223557', 'Q234167', 'Q236027', 'Q236036', 'Q236236', 'Q241135', 'Q243656', 'Q269973', 'Q270059', 'Q271176', 'Q273579', 'Q284183', 'Q289241', 'Q298242', 'Q309702', 'Q312627', 'Q315160', 'Q315516', 'Q316045', 'Q318462', 'Q325648', 'Q326180', 'Q334832', 'Q336488', 'Q390052', 'Q425900', 'Q456685', 'Q464718', 'Q465646', 'Q471716', 'Q484048', 'Q486096', 'Q487420', 'Q494216', 'Q502205', 'Q529012', 'Q553554', 'Q574039', 'Q575784', 'Q578460', 'Q600614', 'Q603688', 'Q625502', 'Q629485', 'Q629958', 'Q664743', 'Q667886', 'Q678774', 'Q686876', 'Q700758', 'Q729412', 'Q732383', 'Q734870', 'Q739285', 'Q741745', 'Q756891', 'Q779855', 'Q795042', 'Q801124', 'Q806869', 'Q852774', 'Q853028', 'Q863961', 'Q864080', 'Q866739', 'Q866823', 'Q866856', 'Q910300', 'Q931092', 'Q953508', 'Q994738', 'Q998572', 'Q1023065', 'Q1037393', 'Q1048607', 'Q1054813', 'Q1056761', 'Q1068553', 'Q1105411', 'Q1136099', 'Q1148039', 'Q1169811', 'Q1183684', 'Q1196836', 'Q1197777', 'Q1249255', 'Q1315953', 'Q1322402', 'Q1332256', 'Q1355833', 'Q1356352', 'Q1359602', 'Q1364900', 'Q1370281', 'Q1375322', 'Q1383578', 'Q1398884', 'Q1468192', 'Q1471266', 'Q1516939', 'Q1754946', 'Q1780867', 'Q1810296', 'Q1865281', 'Q1968364', 'Q1969730', 'Q2051667', 'Q2090752', 'Q2165980', 'Q2251335', 'Q2298831', 'Q2521361', 'Q2638734', 'Q2827551', 'Q2945560', 'Q2998796', 'Q3222002', 'Q3270264', 'Q3294810', 'Q3324796', 'Q3324915', 'Q3330940', 'Q3577037', 'Q3736054', 'Q3745367', 'Q4005855', 'Q4116378', 'Q4384803', 'Q4703472', 'Q4967865', 'Q4968616', 'Q5378697', 'Q5440362', 'Q5465508', 'Q5501546', 'Q5679431', 'Q5998228', 'Q6035456', 'Q6382533', 'Q6595107', 'Q6743016', 'Q6756382', 'Q6880905', 'Q7049017', 'Q7240590', 'Q7314062', 'Q7370068', 'Q7443835', 'Q7595311', 'Q7892468', 'Q7942161', 'Q8764963', 'Q10729591', 'Q11773804', 'Q13410464', 'Q13410520', 'Q13414369', 'Q13415368', 'Q13417213', 'Q13637184', 'Q14920443', 'Q15397253', 'Q15474042', 'Q16802335', 'Q16943141', 'Q17007013', 'Q17084016', 'Q17506823', 'Q18010990', 'Q18161804', 'Q18608569', 'Q18692527', 'Q18844729', 'Q19867977', 'Q23043317', 'Q23825118', 'Q23838395', 'Q24561572', 'Q24716636', 'Q28100410', 'Q30681582', 'Q48862823', 'Q51834363', 'Q59095968', 'Q60021939', 'Q60528603', 'Q62603091', 'Q63565260', 'Q77924746', 'Q84263196', 'Q85790963']",369,excluding
7,P1016,"['Q3030', 'Q11558', 'Q11560', 'Q107517', 'Q140489', 'Q149012', 'Q154334', 'Q156131', 'Q1385178', 'Q15101896']",10,asteroid taxonomy
8,P1018,"['Q143', 'Q150', 'Q188', 'Q256', 'Q294', 'Q397', 'Q652', 'Q809', 'Q1321', 'Q1412', 'Q1568', 'Q1617', 'Q1860', 'Q5146', 'Q5218', 'Q5287', 'Q6654', 'Q7026', 'Q7411', 'Q7737', 'Q7838', 'Q7913', 'Q7918', 'Q8641', 'Q8748', 'Q8752', 'Q8785', 'Q8798', 'Q9027', 'Q9035', 'Q9043', 'Q9051', 'Q9056', 'Q9058', 'Q9063', 'Q9067', 'Q9072', 'Q9078', 'Q9083', 'Q9091', 'Q9129', 'Q9142', 'Q9166', 'Q9168', 'Q9176', 'Q9217', 'Q9228', 'Q9237', 'Q9240', 'Q9252', 'Q9264', 'Q9288', 'Q9296', 'Q9299', 'Q9307', 'Q9309', 'Q9314', 'Q9610', 'Q10134', 'Q10179', 'Q10196', 'Q11051', 'Q12107', 'Q12175', 'Q13218', 'Q13248', 'Q13300', 'Q13310', 'Q13330', 'Q13354', 'Q13356', 'Q13389', 'Q13955', 'Q14196', 'Q15065', 'Q25164', 'Q25167', 'Q25258', 'Q25285', 'Q25289', 'Q25325', 'Q25355', 'Q27175', 'Q28026', 'Q29507', 'Q29921', 'Q30898', 'Q32238', 'Q32641', 'Q32704', 'Q32747', 'Q32762', 'Q33081', 'Q33239', 'Q33284', 'Q33298', 'Q33348', 'Q33350', 'Q33375', 'Q33441', 'Q33491', 'Q33575', 'Q33690', 'Q33823', 'Q33890', 'Q33997', 'Q34014', 'Q34015', 'Q34065', 'Q34125', 'Q34137', 'Q34152', 'Q34279', 'Q34327', 'Q34340', 'Q34770', 'Q35224', 'Q35850', 'Q35876', 'Q35934', 'Q35938', 'Q36121', 'Q36155', 'Q36196', 'Q36350', 'Q36451', 'Q36498', 'Q36785', 'Q36986', 'Q56430', 'Q56483', 'Q56595', 'Q58635', 'Q129648', 'Q165795', 'Q979914', 'Q1461092', 'Q1572128', 'Q2093358', 'Q3513637', 'Q7598268', 'Q19894851', 'Q28039637', 'Q61053330']",144,language regulatory body
10,P10241,"['Q16521', 'Q24628', 'Q28270', 'Q49658', 'Q125027', 'Q147683', 'Q151922', 'Q152482', 'Q159697', 'Q245835', 'Q252182', 'Q321437', 'Q335860', 'Q425608', 'Q589595', 'Q630678', 'Q677525', 'Q708453', 'Q809222', 'Q811534', 'Q831999', 'Q834003', 'Q890911', 'Q973447', 'Q1027417', 'Q1055802', 'Q1061704', 'Q1063506', 'Q1144606', 'Q1257254', 'Q1273495', 'Q1301863', 'Q1303124', 'Q1348219', 'Q1351544', 'Q1371145', 'Q1421130', 'Q1424912', 'Q1473852', 'Q1477835', 'Q1520397', 'Q1542275', 'Q1767909', 'Q1962394', 'Q2165169', 'Q2334305', 'Q2433338', 'Q2473173', 'Q2635399', 'Q2679876', 'Q2790269', 'Q2975247', 'Q3083276', 'Q3276248', 'Q3398833', 'Q3430955', 'Q3467045', 'Q3573130', 'Q3707126', 'Q4923351', 'Q5167065', 'Q5530615', 'Q6272382', 'Q6400437', 'Q6749425', 'Q6828038', 'Q7308184', 'Q7491907', 'Q7530532', 'Q15979689', 'Q16314550', 'Q16980279', 'Q17389547', 'Q18517970', 'Q18709203', 'Q19805029', 'Q20022011', 'Q20194433', 'Q20739486', 'Q26388682']",80,is an individual of taxon
13,P1028,"['Q9626', 'Q23361', 'Q32496', 'Q40599', 'Q145972', 'Q178040', 'Q185372', 'Q211872', 'Q315026', 'Q318770', 'Q414219', 'Q473527', 'Q512272', 'Q570614', 'Q586771', 'Q672787', 'Q684511', 'Q695039', 'Q720910', 'Q812306', 'Q833809', 'Q864836', 'Q865664', 'Q956541', 'Q979668', 'Q995863', 'Q1000128', 'Q1087244', 'Q1091585', 'Q1124860', 'Q1165042', 'Q1169199', 'Q1169395', 'Q1219698', 'Q1313499', 'Q1359908', 'Q1396769', 'Q1510023', 'Q1514666', 'Q1644917', 'Q1645905', 'Q1792574', 'Q2178529', 'Q2246489', 'Q2439462', 'Q2571514', 'Q2582289', 'Q2629559', 'Q2663418', 'Q3116522', 'Q3432215', 'Q4786507', 'Q4996595', 'Q6400437', 'Q12076092', 'Q16735648', 'Q17053285', 'Q17319699', 'Q17319770', 'Q17320982', 'Q17323715', 'Q17323847', 'Q17324111', 'Q17324746', 'Q17327180', 'Q17327305', 'Q17327596', 'Q17327628', 'Q17339629', 'Q18002417', 'Q18201640', 'Q18384815', 'Q18600746', 'Q18756478', 'Q19844638', 'Q19900516', 'Q20494929', 'Q23929142', 'Q23929318', 'Q23929327', 'Q25429073', 'Q28667373', 'Q45910487']",83,donated by
14,P1029,"['Q17181', 'Q17183', 'Q17185', 'Q17186', 'Q17187', 'Q17188', 'Q17190', 'Q17191', 'Q17192', 'Q17195', 'Q17196', 'Q17197', 'Q17198', 'Q17199', 'Q17202', 'Q17203', 'Q17204', 'Q17206', 'Q17207', 'Q17208', 'Q17212', 'Q17213', 'Q17214', 'Q17217', 'Q17218', 'Q17219', 'Q17220', 'Q17223', 'Q17224', 'Q17225', 'Q17230', 'Q17231', 'Q17235', 'Q17236', 'Q19050', 'Q25173', 'Q27454', 'Q33209', 'Q43653', 'Q71962', 'Q113808', 'Q119807', 'Q131500', 'Q150857', 'Q151808', 'Q155222', 'Q155250', 'Q155937', 'Q158427', 'Q160712', 'Q163488', 'Q169018', 'Q170363', 'Q178836', 'Q178871', 'Q180971', 'Q182252', 'Q182524', 'Q183369', 'Q184201', 'Q188168', 'Q188433', 'Q188486', 'Q190776', 'Q190973', 'Q191746', 'Q194068', 'Q194082', 'Q203651', 'Q204424', 'Q208759', 'Q213958', 'Q217531', 'Q217538', 'Q217543', 'Q217546', 'Q217550', 'Q217575', 'Q219821', 'Q221105', 'Q221269', 'Q221678', 'Q240478', 'Q240585', 'Q241736', 'Q259770', 'Q261856', 'Q262753', 'Q262787', 'Q269668', 'Q281355', 'Q281398', 'Q281633', 'Q282644', 'Q308923', 'Q309080', 'Q312022', 'Q312030', 'Q312037', 'Q312052', 'Q318646', 'Q321154', 'Q321346', 'Q321350', 'Q321583', 'Q324699', 'Q324704', 'Q328927', 'Q331310', 'Q369538', 'Q370277', 'Q375209', 'Q377764', 'Q378306', 'Q378417', 'Q378562', 'Q384250', 'Q430622', 'Q460468', 'Q464041', 'Q473478', 'Q475776', 'Q475798', 'Q475801', 'Q475807', 'Q475811', 'Q475844', 'Q475864', 'Q475884', 'Q476092', 'Q478803', 'Q481311', 'Q481318', 'Q481547', 'Q482513', 'Q498406', 'Q498533', 'Q498680', 'Q498689', 'Q498722', 'Q518867', 'Q519533', 'Q524091', 'Q527159', 'Q528054', 'Q533716', 'Q534559', 'Q534963', 'Q538036', 'Q540243', 'Q543828', 'Q549265', 'Q549338', 'Q549463', 'Q549654', 'Q554487', 'Q554499', 'Q554503', 'Q554509', 'Q554519', 'Q554536', 'Q554546', 'Q554583', 'Q554615', 'Q554618', 'Q554623', 'Q554639', 'Q555074', 'Q557286', 'Q558964', 'Q559013', 'Q559030', 'Q559035', 'Q559159', 'Q560402', 'Q563438', 'Q566203', 'Q568763', 'Q569103', 'Q569418', 'Q569433', 'Q571272', 'Q571296', 'Q571300', 'Q571346', 'Q573194', 'Q575085', 'Q575960', 'Q583125', 'Q586855', 'Q593431', 'Q600770', 'Q601397', 'Q604597', 'Q606269', 'Q608659', 'Q609517', 'Q609967', 'Q613023', 'Q617651', 'Q617708', 'Q619807', 'Q619811', 'Q621713', 'Q621718', 'Q623041', 'Q623903', 'Q628739', 'Q629318', 'Q629661', 'Q632761', 'Q633907', 'Q643860', 'Q648350', 'Q648581', 'Q650938', 'Q651789', 'Q655312', 'Q656074', 'Q656087', 'Q658305', 'Q660577', 'Q662021', 'Q663818', 'Q666463', 'Q666604', 'Q671647', 'Q672270', 'Q672293', 'Q673414', 'Q682421', 'Q682628', 'Q682663', 'Q683326', 'Q683472', 'Q684467', 'Q689352', 'Q689619', 'Q689670', 'Q689830', 'Q690070', 'Q699024', 'Q700936', 'Q703042', 'Q703050', 'Q706237', 'Q706456', 'Q708124', 'Q717342', 'Q717831', 'Q717836', 'Q721238', 'Q722791', 'Q725849', 'Q730803', 'Q730824', 'Q731277', 'Q731368', 'Q731385', 'Q734688', 'Q747769', 'Q749642', 'Q752766', 'Q752787', 'Q752792', 'Q752799', 'Q752802', 'Q753546', 'Q754929', 'Q757035', 'Q761078', 'Q765187', 'Q773916', 'Q778534', 'Q793618', 'Q793632', 'Q794731', 'Q796537', 'Q824383', 'Q827094', 'Q834003', 'Q834666', 'Q834673', 'Q834698', 'Q834714', 'Q835717', 'Q836047', 'Q842278', 'Q842305', 'Q842344', 'Q844934', 'Q844966', 'Q845364', 'Q845373', 'Q845377', 'Q845385', 'Q845390', 'Q845684', 'Q845718', 'Q845723', 'Q847619', 'Q847719', 'Q860236', 'Q870792', 'Q877162', 'Q901010', 'Q901247', 'Q903151', 'Q905035', 'Q905133', 'Q905316', 'Q913114', 'Q915385', 'Q916974', 'Q918632', 'Q948200', 'Q952417', 'Q977964', 'Q1052421', 'Q1090911', 'Q1128120', 'Q1135865', 'Q1135874', 'Q1143968', 'Q1143978', 'Q1143980', 'Q1165956', 'Q1239477', 'Q1340768', 'Q1340837', 'Q1340868', 'Q1365962', 'Q1426895', 'Q1426913', 'Q1426954', 'Q1427063', 'Q1573486', 'Q1601052', 'Q1629032', 'Q1629049', 'Q1652911', 'Q1654888', 'Q1654890', 'Q1655394', 'Q1724109', 'Q1773494', 'Q1780961', 'Q1921530', 'Q2000220', 'Q2000249', 'Q2005791', 'Q2023312', 'Q2381546', 'Q2448462', 'Q2468870', 'Q2472364', 'Q2709630', 'Q3122598', 'Q3389152', 'Q3551955', 'Q3552007', 'Q4051959', 'Q4051976', 'Q4119118', 'Q5184855', 'Q5551686', 'Q5551762', 'Q5551779', 'Q5551794', 'Q5551851', 'Q5901134', 'Q7391641', 'Q7572053', 'Q7888109', 'Q8860000', 'Q9288143', 'Q9335995', 'Q9363945', 'Q9363967', 'Q10386073', 'Q12011402', 'Q12804536', 'Q12804538', 'Q12804544', 'Q12804692', 'Q12804809', 'Q13427474', 'Q14288150', 'Q14623219', 'Q15636288', 'Q15644561', 'Q15677295', 'Q15677914', 'Q15819799', 'Q15819800', 'Q15944870', 'Q16947045', 'Q17123704', 'Q18412563', 'Q18578423', 'Q19876829', 'Q19937329', 'Q21155426', 'Q21779194', 'Q25708277', 'Q26905095', 'Q28223990', 'Q29017993', 'Q46515080', 'Q47246047', 'Q56042850', 'Q62833385', 'Q86675323', 'Q96372870', 'Q97769209', 'Q105209621', 'Q106691867', 'Q107458809', 'Q109423211']",419,crew member(s)
16,P1032,"['Q7397', 'Q48854', 'Q166226', 'Q178990', 'Q192532', 'Q206653', 'Q210844', 'Q221164', 'Q324871', 'Q327594', 'Q513867', 'Q549217', 'Q567246', 'Q633046', 'Q647855', 'Q717600', 'Q791439', 'Q811024', 'Q893423', 'Q915860', 'Q978768', 'Q1143738', 'Q1165728', 'Q1779100', 'Q1883234', 'Q2508481', 'Q4037583', 'Q4047343', 'Q5889427', 'Q12145459', 'Q15304961', 'Q16742875', 'Q16968699', 'Q17154489', 'Q18533576', 'Q19772510', 'Q20007251', 'Q20113552', 'Q20116193', 'Q20735646', 'Q20736242', 'Q21078985', 'Q22009602', 'Q22131519', 'Q23013242', 'Q24031560', 'Q24044813', 'Q24255335', 'Q24326087', 'Q24442399', 'Q24577667', 'Q24806987', 'Q28196135', 'Q28678483', 'Q29154231', 'Q29475928', 'Q30015130', 'Q30138024', 'Q30138107', 'Q30141529', 'Q30229306', 'Q30238508', 'Q30246735', 'Q30252256', 'Q30715994', 'Q40887608', 'Q44636586', 'Q50562677', 'Q52432849', 'Q52935749', 'Q54875419', 'Q54913467', 'Q59511757', 'Q63339904']",74,Digital Rights Management system
17,P1033,"['Q153', 'Q283', 'Q663', 'Q703', 'Q1096', 'Q2270', 'Q2314', 'Q2546', 'Q4118', 'Q14982', 'Q15779', 'Q26075', 'Q41576', 'Q49546', 'Q57055', 'Q122043', 'Q130336', 'Q132501', 'Q143746', 'Q146339', 'Q151797', 'Q161521', 'Q161542', 'Q161632', 'Q177836', 'Q179731', 'Q182329', 'Q182990', 'Q187921', 'Q189090', 'Q190077', 'Q190878', 'Q194207', 'Q196680', 'Q207877', 'Q209381', 'Q209727', 'Q211433', 'Q215281', 'Q239729', 'Q270162', 'Q271943', 'Q274959', 'Q339866', 'Q339975', 'Q375112', 'Q407411', 'Q407577', 'Q407849', 'Q408061', 'Q408658', 'Q408810', 'Q409241', 'Q409574', 'Q410120', 'Q413982', 'Q414652', 'Q416673', 'Q418720', 'Q421083', 'Q421465', 'Q421761', 'Q422017', 'Q422037', 'Q422430', 'Q424814', 'Q839494', 'Q898387', 'Q1319162', 'Q4027534', 'Q15350855', 'Q64703485', 'Q75079224']",73,GHS signal word
